{'seed': 2027, 'model': 'MF', 'dataset': 'Yelp', 'min_interaction': 10, 'noise': 0.0, 'add_p': 1.0, 'out_dim': 64, 'use_gpu': True, 'device': device(type='cuda'), 'device_id': [0], 'batch_size': 2048, 'test_batch_size': 2048, 'patience': 100, 'val_interval': 20, 'lr': 0.01, 'weight_decay': 0.0001, 'min_epochs': 40, 'n_epochs': 100, 'rec_top_k': [20, 50], 'method': 'VQ', 'temp': 0.1, 'item_num': 5, 'num_codebook': 1024, 'num_hirearchy': 3, 'begin_adv': 10, 'main_file': '2025041722_0.01_0.0001_10_1024', 'model_config': {'device': device(type='cuda'), 'dim': 64, 'denoise_config': {'num_codebook': 1024, 'num_hirearchy': 3, 'codebook_dimension': 64, 'begin_adv': 10}, 'n_users': 31668, 'n_items': 38048}, 'checkpoints': 'checkpoints'}
MF
{'device': device(type='cuda'), 'dim': 64, 'denoise_config': {'num_codebook': 1024, 'num_hirearchy': 3, 'codebook_dimension': 64, 'begin_adv': 10}}
#User: 31668, #Item: 38048, #Ratings: 1561406, AvgLen: 49.3, Sparsity: 99.88
Create Dataloader with batch_size:2048
Epoch 0: Rec Loss: 0.4838, Time: 9.83
Epoch 1: Rec Loss: 0.1225, Time: 9.84
Epoch 2: Rec Loss: 0.0721, Time: 9.80
Epoch 3: Rec Loss: 0.0621, Time: 9.84
Epoch 4: Rec Loss: 0.0578, Time: 9.86
Epoch 5: Rec Loss: 0.0557, Time: 9.82
Epoch 6: Rec Loss: 0.0546, Time: 9.82
Epoch 7: Rec Loss: 0.0542, Time: 9.89
Epoch 8: Rec Loss: 0.0531, Time: 9.84
Epoch 9: Rec Loss: 0.0533, Time: 9.87
Epoch 10: Rec Loss: 0.0278, Time: 22.24
Epoch 11: Rec Loss: 0.0250, Time: 22.12
Epoch 12: Rec Loss: 0.0242, Time: 22.25
Epoch 13: Rec Loss: 0.0217, Time: 22.30
Epoch 14: Rec Loss: 0.0190, Time: 22.25
Epoch 15: Rec Loss: 0.0181, Time: 22.26
Epoch 16: Rec Loss: 0.0173, Time: 22.34
Epoch 17: Rec Loss: 0.0178, Time: 22.25
Epoch 18: Rec Loss: 0.0181, Time: 22.24
Epoch 19: Rec Loss: 0.0190, Time: 22.25
Validation - Time: 183.72
Recommendation Performanceat Epoch 19:
Recall@20: 0.0407, NDCG@20: 0.0257;
Recall@50: 0.0836, NDCG@50: 0.0398;
Epoch 20: Rec Loss: 0.0196, Time: 22.03
Epoch 21: Rec Loss: 0.0213, Time: 22.12
Epoch 22: Rec Loss: 0.0206, Time: 22.23
Epoch 23: Rec Loss: 0.0207, Time: 22.23
Epoch 24: Rec Loss: 0.0203, Time: 22.24
Epoch 25: Rec Loss: 0.0206, Time: 22.24
Epoch 26: Rec Loss: 0.0199, Time: 22.27
Epoch 27: Rec Loss: 0.0193, Time: 22.24
Epoch 28: Rec Loss: 0.0187, Time: 22.25
Epoch 29: Rec Loss: 0.0185, Time: 22.24
Epoch 30: Rec Loss: 0.0198, Time: 22.26
