{'seed': 2024, 'model': 'MF', 'dataset': 'Yelp', 'min_interaction': 10, 'noise': 0.0, 'add_p': 1.0, 'out_dim': 64, 'use_gpu': True, 'device': device(type='cuda'), 'device_id': [0], 'batch_size': 2048, 'test_batch_size': 2048, 'patience': 100, 'val_interval': 20, 'lr': 0.001, 'weight_decay': 0.001, 'min_epochs': 40, 'n_epochs': 100, 'rec_top_k': [20, 50], 'method': 'VQ', 'temp': 0.1, 'item_num': 5, 'num_codebook': 256, 'num_hirearchy': 3, 'begin_adv': 10, 'main_file': '2025041718_0.001_0.001_10_256'}
MF
{'device': device(type='cuda'), 'dim': 64, 'denoise_config': {'num_codebook': 256, 'num_hirearchy': 3, 'codebook_dimension': 64, 'begin_adv': 10}}
#User: 31668, #Item: 38048, #Ratings: 1561406, AvgLen: 49.3, Sparsity: 99.88
Create Dataloader with batch_size:2048
Epoch 0: Rec Loss: 0.6854, Time: 9.47
Epoch 1: Rec Loss: 0.6581, Time: 9.38
Epoch 2: Rec Loss: 0.6146, Time: 9.36
Epoch 3: Rec Loss: 0.5333, Time: 9.34
Epoch 4: Rec Loss: 0.4164, Time: 9.36
Epoch 5: Rec Loss: 0.3043, Time: 9.36
Epoch 6: Rec Loss: 0.2233, Time: 9.33
Epoch 7: Rec Loss: 0.1722, Time: 9.33
Epoch 8: Rec Loss: 0.1407, Time: 9.32
Epoch 9: Rec Loss: 0.1203, Time: 9.40
Epoch 10: Rec Loss: 0.0726, Time: 13.85
Epoch 11: Rec Loss: 0.0654, Time: 13.73
Epoch 12: Rec Loss: 0.0568, Time: 13.74
Epoch 13: Rec Loss: 0.0560, Time: 13.74
Epoch 14: Rec Loss: 0.0541, Time: 13.84
Epoch 15: Rec Loss: 0.0522, Time: 13.92
Epoch 16: Rec Loss: 0.0507, Time: 13.90
Epoch 17: Rec Loss: 0.0489, Time: 13.91
Epoch 18: Rec Loss: 0.0498, Time: 13.90
Epoch 19: Rec Loss: 0.0485, Time: 13.90
Validation - Time: 177.98
Recommendation Performanceat Epoch 19:
Recall@20: 0.0500, NDCG@20: 0.0325;
Recall@50: 0.0991, NDCG@50: 0.0487;
Epoch 20: Rec Loss: 0.0470, Time: 13.67
Epoch 21: Rec Loss: 0.0453, Time: 13.64
Epoch 22: Rec Loss: 0.0439, Time: 13.64
Epoch 23: Rec Loss: 0.0434, Time: 13.66
Epoch 24: Rec Loss: 0.0429, Time: 13.67
Epoch 25: Rec Loss: 0.0430, Time: 13.73
Epoch 26: Rec Loss: 0.0420, Time: 13.73
Epoch 27: Rec Loss: 0.0406, Time: 13.90
Epoch 28: Rec Loss: 0.0408, Time: 13.91
Epoch 29: Rec Loss: 0.0399, Time: 13.90
Epoch 30: Rec Loss: 0.0410, Time: 13.89
Epoch 31: Rec Loss: 0.0416, Time: 13.86
Epoch 32: Rec Loss: 0.0414, Time: 13.90
Epoch 33: Rec Loss: 0.0414, Time: 13.92
Epoch 34: Rec Loss: 0.0411, Time: 13.91
Epoch 35: Rec Loss: 0.0407, Time: 13.90
Epoch 36: Rec Loss: 0.0397, Time: 13.89
Epoch 37: Rec Loss: 0.0396, Time: 13.90
Epoch 38: Rec Loss: 0.0391, Time: 13.85
Epoch 39: Rec Loss: 0.0384, Time: 13.86
Validation - Time: 179.85
Recommendation Performanceat Epoch 39:
Recall@20: 0.0594, NDCG@20: 0.0387;
Recall@50: 0.1143, NDCG@50: 0.0568;
Epoch 40: Rec Loss: 0.0374, Time: 13.87
Epoch 41: Rec Loss: 0.0374, Time: 13.86
Epoch 42: Rec Loss: 0.0370, Time: 13.84
Epoch 43: Rec Loss: 0.0375, Time: 13.84
Epoch 44: Rec Loss: 0.0368, Time: 13.87
Epoch 45: Rec Loss: 0.0368, Time: 13.86
Epoch 46: Rec Loss: 0.0370, Time: 13.86
Epoch 47: Rec Loss: 0.0367, Time: 13.91
Epoch 48: Rec Loss: 0.0362, Time: 13.88
Epoch 49: Rec Loss: 0.0363, Time: 13.89
Epoch 50: Rec Loss: 0.0361, Time: 13.88
Epoch 51: Rec Loss: 0.0360, Time: 13.85
Epoch 52: Rec Loss: 0.0364, Time: 13.83
Epoch 53: Rec Loss: 0.0364, Time: 13.85
Epoch 54: Rec Loss: 0.0362, Time: 13.78
Epoch 55: Rec Loss: 0.0365, Time: 13.77
Epoch 56: Rec Loss: 0.0362, Time: 13.76
Epoch 57: Rec Loss: 0.0358, Time: 13.75
Epoch 58: Rec Loss: 0.0356, Time: 13.69
Epoch 59: Rec Loss: 0.0356, Time: 13.66
Validation - Time: 179.83
Recommendation Performanceat Epoch 59:
Recall@20: 0.0649, NDCG@20: 0.0424;
Recall@50: 0.1255, NDCG@50: 0.0623;
Epoch 60: Rec Loss: 0.0357, Time: 13.80
Epoch 61: Rec Loss: 0.0358, Time: 13.81
Epoch 62: Rec Loss: 0.0358, Time: 13.78
Epoch 63: Rec Loss: 0.0357, Time: 13.82
Epoch 64: Rec Loss: 0.0360, Time: 13.80
Epoch 65: Rec Loss: 0.0358, Time: 13.80
Epoch 66: Rec Loss: 0.0351, Time: 13.80
Epoch 67: Rec Loss: 0.0354, Time: 13.65
Epoch 68: Rec Loss: 0.0359, Time: 13.65
Epoch 69: Rec Loss: 0.0355, Time: 13.65
Epoch 70: Rec Loss: 0.0353, Time: 13.66
Epoch 71: Rec Loss: 0.0355, Time: 13.68
Epoch 72: Rec Loss: 0.0356, Time: 13.67
Epoch 73: Rec Loss: 0.0350, Time: 13.64
Epoch 74: Rec Loss: 0.0350, Time: 13.64
Epoch 75: Rec Loss: 0.0351, Time: 13.63
Epoch 76: Rec Loss: 0.0351, Time: 13.65
Epoch 77: Rec Loss: 0.0354, Time: 13.65
Epoch 78: Rec Loss: 0.0356, Time: 13.64
Epoch 79: Rec Loss: 0.0360, Time: 13.66
Validation - Time: 179.38
Recommendation Performanceat Epoch 79:
Recall@20: 0.0692, NDCG@20: 0.0452;
Recall@50: 0.1341, NDCG@50: 0.0665;
