{'seed': 2027, 'model': 'MF', 'dataset': 'MIND', 'min_interaction': 10, 'noise': 0.0, 'add_p': 1.0, 'out_dim': 64, 'use_gpu': True, 'device': device(type='cuda'), 'device_id': [0], 'batch_size': 2048, 'test_batch_size': 2048, 'patience': 100, 'val_interval': 20, 'lr': 0.01, 'weight_decay': 0.0001, 'min_epochs': 40, 'n_epochs': 100, 'rec_top_k': [20, 50], 'method': 'VQ', 'temp': 0.1, 'item_num': 5, 'num_codebook': 256, 'num_hirearchy': 3, 'begin_adv': 20, 'main_file': '2025041710_0.01_0.0001_20_256', 'model_config': {'device': device(type='cuda'), 'dim': 64, 'denoise_config': {'num_codebook': 256, 'num_hirearchy': 3, 'codebook_dimension': 64, 'begin_adv': 20}, 'n_users': 38441, 'n_items': 38000}, 'checkpoints': 'checkpoints'}
MF
{'device': device(type='cuda'), 'dim': 64, 'denoise_config': {'num_codebook': 256, 'num_hirearchy': 3, 'codebook_dimension': 64, 'begin_adv': 20}}
#User: 38441, #Item: 38000, #Ratings: 1210953, AvgLen: 31.5, Sparsity: 99.92
Create Dataloader with batch_size:2048
Epoch 0: Rec Loss: 0.4324, Time: 7.15
Epoch 1: Rec Loss: 0.1113, Time: 7.15
Epoch 2: Rec Loss: 0.0847, Time: 7.16
Epoch 3: Rec Loss: 0.0735, Time: 7.16
Epoch 4: Rec Loss: 0.0669, Time: 7.14
Epoch 5: Rec Loss: 0.0627, Time: 7.15
Epoch 6: Rec Loss: 0.0595, Time: 7.16
Epoch 7: Rec Loss: 0.0573, Time: 7.13
Epoch 8: Rec Loss: 0.0551, Time: 7.12
Epoch 9: Rec Loss: 0.0530, Time: 7.10
Epoch 10: Rec Loss: 0.0517, Time: 7.11
Epoch 11: Rec Loss: 0.0506, Time: 7.15
Epoch 12: Rec Loss: 0.0497, Time: 7.12
Epoch 13: Rec Loss: 0.0486, Time: 7.12
Epoch 14: Rec Loss: 0.0485, Time: 7.11
Epoch 15: Rec Loss: 0.0475, Time: 7.11
Epoch 16: Rec Loss: 0.0468, Time: 7.14
Epoch 17: Rec Loss: 0.0460, Time: 7.13
Epoch 18: Rec Loss: 0.0455, Time: 7.13
Epoch 19: Rec Loss: 0.0455, Time: 7.11
Validation - Time: 156.15
Recommendation Performanceat Epoch 19:
Recall@20: 0.0385, NDCG@20: 0.0217;
Recall@50: 0.0787, NDCG@50: 0.0334;
Epoch 20: Rec Loss: 0.0258, Time: 10.16
Epoch 21: Rec Loss: 0.0249, Time: 10.12
Epoch 22: Rec Loss: 0.0237, Time: 10.12
Epoch 23: Rec Loss: 0.0233, Time: 10.15
Epoch 24: Rec Loss: 0.0228, Time: 10.13
Epoch 25: Rec Loss: 0.0229, Time: 10.11
Epoch 26: Rec Loss: 0.0230, Time: 10.13
Epoch 27: Rec Loss: 0.0230, Time: 10.12
Epoch 28: Rec Loss: 0.0226, Time: 10.11
Epoch 29: Rec Loss: 0.0229, Time: 10.20
Epoch 30: Rec Loss: 0.0223, Time: 10.31
Epoch 31: Rec Loss: 0.0220, Time: 10.40
Epoch 32: Rec Loss: 0.0227, Time: 10.31
Epoch 33: Rec Loss: 0.0224, Time: 10.31
Epoch 34: Rec Loss: 0.0228, Time: 10.33
Epoch 35: Rec Loss: 0.0224, Time: 10.31
Epoch 36: Rec Loss: 0.0221, Time: 10.31
Epoch 37: Rec Loss: 0.0220, Time: 10.31
Epoch 38: Rec Loss: 0.0218, Time: 10.31
Epoch 39: Rec Loss: 0.0217, Time: 10.31
Validation - Time: 156.50
Recommendation Performanceat Epoch 39:
Recall@20: 0.0459, NDCG@20: 0.0268;
Recall@50: 0.0898, NDCG@50: 0.0395;
Epoch 40: Rec Loss: 0.0217, Time: 10.13
Epoch 41: Rec Loss: 0.0215, Time: 10.13
Epoch 42: Rec Loss: 0.0212, Time: 10.15
Epoch 43: Rec Loss: 0.0211, Time: 10.15
Epoch 44: Rec Loss: 0.0207, Time: 10.15
Epoch 45: Rec Loss: 0.0208, Time: 10.17
Epoch 46: Rec Loss: 0.0204, Time: 10.16
Epoch 47: Rec Loss: 0.0204, Time: 10.16
Epoch 48: Rec Loss: 0.0205, Time: 10.16
Epoch 49: Rec Loss: 0.0202, Time: 10.16
Epoch 50: Rec Loss: 0.0204, Time: 10.16
Epoch 51: Rec Loss: 0.0200, Time: 10.18
Epoch 52: Rec Loss: 0.0199, Time: 10.22
Epoch 53: Rec Loss: 0.0200, Time: 10.36
Epoch 54: Rec Loss: 0.0195, Time: 10.36
Epoch 55: Rec Loss: 0.0194, Time: 10.38
Epoch 56: Rec Loss: 0.0202, Time: 10.37
Epoch 57: Rec Loss: 0.0199, Time: 10.37
Epoch 58: Rec Loss: 0.0197, Time: 10.37
Epoch 59: Rec Loss: 0.0194, Time: 10.38
Validation - Time: 156.34
Recommendation Performanceat Epoch 59:
Recall@20: 0.0471, NDCG@20: 0.0269;
Recall@50: 0.0932, NDCG@50: 0.0403;
Epoch 60: Rec Loss: 0.0192, Time: 10.27
Epoch 61: Rec Loss: 0.0188, Time: 10.14
Epoch 62: Rec Loss: 0.0193, Time: 10.10
Epoch 63: Rec Loss: 0.0190, Time: 10.12
Epoch 64: Rec Loss: 0.0190, Time: 10.13
Epoch 65: Rec Loss: 0.0193, Time: 10.11
Epoch 66: Rec Loss: 0.0192, Time: 10.15
Epoch 67: Rec Loss: 0.0188, Time: 10.19
Epoch 68: Rec Loss: 0.0189, Time: 10.17
Epoch 69: Rec Loss: 0.0190, Time: 10.17
Epoch 70: Rec Loss: 0.0191, Time: 10.17
Epoch 71: Rec Loss: 0.0189, Time: 10.16
Epoch 72: Rec Loss: 0.0191, Time: 10.17
Epoch 73: Rec Loss: 0.0188, Time: 10.18
Epoch 74: Rec Loss: 0.0191, Time: 10.16
Epoch 75: Rec Loss: 0.0186, Time: 10.16
Epoch 76: Rec Loss: 0.0190, Time: 10.17
Epoch 77: Rec Loss: 0.0191, Time: 10.18
Epoch 78: Rec Loss: 0.0186, Time: 10.17
Epoch 79: Rec Loss: 0.0189, Time: 10.20
Validation - Time: 156.73
Recommendation Performanceat Epoch 79:
Recall@20: 0.0500, NDCG@20: 0.0293;
Recall@50: 0.0964, NDCG@50: 0.0429;
Epoch 80: Rec Loss: 0.0184, Time: 10.18
Epoch 81: Rec Loss: 0.0188, Time: 10.17
Epoch 82: Rec Loss: 0.0186, Time: 10.20
Epoch 83: Rec Loss: 0.0185, Time: 10.39
Epoch 84: Rec Loss: 0.0186, Time: 10.38
Epoch 85: Rec Loss: 0.0184, Time: 10.36
Epoch 86: Rec Loss: 0.0187, Time: 10.40
Epoch 87: Rec Loss: 0.0185, Time: 10.39
Epoch 88: Rec Loss: 0.0189, Time: 10.38
Epoch 89: Rec Loss: 0.0187, Time: 10.38
